"","date","stream","mean.daily.q","min.daily.q","max.daily.q","sd.daily.q","mean.daily.t","min.daily.t","max.daily.t","sd.daily.t"
"2732",2021-12-22,"ws55",0.106426984131944,0.05307125,0.2416081,0.0744587315151183,5.47757291666667,3.859,6.949,0.965943921855643
"2733",2021-12-23,"towr",0.444137645902593,0.383929483931479,0.63135620396413,0.073659218077721,NA,NA,-Inf,NA
"2734",2021-12-23,"ws55",0.237588818402778,0.2329192,0.2410431,0.00168416045027586,4.65648263888889,2.681,7.029,1.51198236848991
"2735",2021-12-24,"towr",0.399980639919301,0.381038158543674,0.554569058233305,0.027221932108892,NA,NA,-Inf,NA
"2736",2021-12-24,"ws55",0.238839205555556,0.2354267,0.2418908,0.00110901486411103,6.77617361111111,4.542,9.5,1.72048339504085
"2737",2021-12-25,"towr",0.437397010340468,0.382180903422924,0.636860211933241,0.0736841610127062,NA,NA,-Inf,NA
"2738",2021-12-25,"ws55",0.238361713541667,0.2326414,0.2418908,0.00197600413944007,10.5101736111111,8.29,12.99,1.63384637488437
"2739",2021-12-26,"towr",0.4098118207518,0.382690861198599,0.562034879128112,0.0383483006720442,NA,NA,-Inf,NA
"2740",2021-12-26,"ws55",0.238642570486111,0.2351475,0.2413255,0.00133080700682129,11.2522222222222,10.21,12.56,0.738573768671255
"2741",2021-12-27,"towr",0.437190281514154,0.38216749676425,0.625645495831166,0.0604730247059414,NA,NA,-Inf,NA
"2742",2021-12-27,"ws55",0.238434996527778,0.2331972,0.2435903,0.00201104929407349,11.4249305555556,9.42,13.64,1.47784144148522
"2743",2021-12-28,"towr",0.447130420840396,0.381449302963865,0.636177887008186,0.0772517531077274,NA,NA,-Inf,NA
"2744",2021-12-28,"ws55",0.237691439583333,0.2312545,0.2410431,0.00178788965210779,12.9220833333333,11.84,14.87,0.783918838684592
"2745",2021-12-29,"towr",0.835646278672578,0.381906198316914,4.50062921208763,0.638435617808435,NA,NA,-Inf,NA
"2746",2021-12-29,"ws55",0.265777194444444,0.1851318,0.9147465,0.113741607385786,13.4949305555556,12.32,14.3,0.402462795523853
"2747",2021-12-30,"towr",1.11106218708413,0.611350266735027,4.42037654575377,0.796351085104511,NA,NA,-Inf,NA
